Iso Code,Location,Latitude,Longitude,Total Cases,Color
America,Moldova,47.524,28.444,4391848,green
America,Mexico,22.925,-101.68,71907073,red
America,Jersey,49.213,-2.1258,50877,green
America,Jamaica,18.163,-77.477,349834,green
America,Honduras,14.881,-87.123,6449044,green
America,Haiti,19.3175,-72.4205,1004914,green
America,Guam,13.45,144.7579,151909,green
America,Grenada,12.111,-61.6867,3336,green
America,Greenland,71,-39,1937,green
America,El Salvador,13.848,-89.229,2527992,green
America,Ecuador,-1.151,-78.308,13105904,green
America,Dominican Republic,19.01,-70.1685,10169203,green
America,Dominica,15.4238,-61.3411,2957,green
America,Curacao,12.2129,-69.0407,18805,green
America,Cuba,20.571,-76.456,500171,green
America,Costa Rica,10.126,-84.075,4585239,green
America,Comoros,-11.6527,43.3307,51404,green
America,Colombia,3.794,-73.606,59972882,red
America,Chile,-23.176,-69.201,49590450,red
America,Canada,59.2067,-111.1937,17698931,red
America,British Virgin Islands,18.4204,-64.64,4247,green
America,Brazil,-11.694,-48.978,417214333,red
America,Bolivia,-16.71,-65.183,11715016,green
America,Bermuda,32.3019,-64.7737,22808,green
America,Belize,17.108,-88.744,105414,green
America,Barbados,13.1898,-59.559,20047,green
America,Aruba,12.5176,-69.9818,209208,green
America,Argentina,-33.166,-64.31,46811876,red
America,Antigua and Barbuda,17.625,-61.786,11204,green
America,Anguilla,18.2177,-63.0406,423,green
Africa,Zimbabwe,-19.098,30.047,591328,green
Africa,Zambia,-15.13,25.268,1110397,green
Africa,Uruguay,-32.948,-56.249,200179,green
Africa,Uganda,1.9392,32.7415,441312,green
Africa,Tunisia,35.594,9.421,944294,green
Africa,Trinidad and Tobago,10.4435,-61.2604,217979,green
Africa,Togo,7.7,1.106,159317,green
Africa,South Africa,-31.7,23.441,62464739,red
Africa,Somalia,2.875,43.446,447047,green
Africa,Sierra Leone,8.677,-11.779,253340,green
Africa,Sao Tome and Principe,0.216,6.595,114348,green
Africa,Rwanda,-1.887,29.904,374950,green
Africa,Papua New Guinea,-5.636,142.798,35576,green
Africa,Nigeria,9.3417,7.678,5916274,green
Africa,Niger,16.996,9.915,158787,green
Africa,Mozambique,-13.852,38.042,505326,green
Africa,Morocco,31.129,-7.355,7568313,green
Africa,Mali,18.211,-2.209,359415,green
Africa,Malawi,-13.2731,33.7428,533452,green
Africa,Madagascar,-19.615,46.645,1430010,green
Africa,Liechtenstein,47.1593,9.547,14269,green
Africa,Libya,27.24,17.571,1813882,green
Africa,Liberia,6.51,-9.33,151143,green
Africa,Lesotho,-29.446,28.371,107923,green
Africa,Kenya,0.806,38.166,3242303,green
Africa,Guyana,5.17,-58.939,161771,green
Africa,Guinea-Bissau,12.191,-14.475,279557,green
Africa,Guinea,10.599,-10.907,1102334,green
Africa,Guernsey,49.4632,-2.5827,35689,green
Africa,Guatemala,15.124,-90.711,7574192,green
Africa,Gibraltar,36.134,-5.3482,36689,green
Africa,Ghana,7.258,-1.062,4718561,green
Africa,Georgia,42.05,43.576,400508,green
Africa,Gambia,13.499,-14.641,228596,green
Africa,Gabon,-0.406,11.914,990254,green
Africa,Ethiopia,8.435,38.786,4862058,green
Africa,Eritrea,15.982,38.02,37764,green
Africa,Equatorial Guinea,1.6342,10.4695,533820,green
Africa,Egypt,26.16,28.742,11955262,green
Africa,Democratic Republic of Congo,-1.418,23.607,1214880,green
Africa,Congo,0.509,16.08,457929,green
Africa,Chad,15.981,18.781,140049,green
Africa,Central African Republic,7.043,21.424,581845,green
Africa,Cape Verde,15.416,-23.36,453514,green
Africa,Cameroon,4.4,12.131,2341109,green
Africa,Burundi,-3.333,29.749,48602,green
Africa,Benin,10.478,2.274,238254,green
Africa,Angola,-12.836,17.808,301821,green
Africa,Algeria,28.6045,2.64,4617722,green
