Iso Code,Location,Latitude,Longitude,Total Cases
Asia,Qatar,25.3174,51.1522,15236925
Asia,Philippines,17.181,121.256,21865855
Asia,Panama,8.348,-81.005,9963141
Asia,Palestine,32.097,35.26,3221983
Asia,Pakistan,28.1854,66.6429,36259864
Asia,Oman,19.85,56.25,9868155
Asia,Nepal,28.2114,83.5608,5230762
Asia,Namibia,-21.276,17.219,680211
Asia,Myanmar,21.841,96.05,636137
Asia,Mongolia,46.516,102.564,38541
Asia,Maldives,4.221,73.463,810505
Asia,Malaysia,4.416,102.099,1393993
Asia,Lebanon,34.161,36.021,2168695
Asia,Laos,19.595,102.538,2922
Asia,Kyrgyzstan,41.741,75.043,4237674
Asia,Kuwait,29.3169,47.4272,10147954
Asia,Kazakhstan,48.866,69.772,12949131
Asia,Japan,35.962,137.855,6887974
Asia,Ireland,53.214,-7.588,4143652
Asia,Iraq,33.545,43.278,25126087
Asia,Iran,33.408,54.0418,46064675
Asia,Indonesia,-0.739,114.045,20873777
Asia,India,22.741,78.236,404409761
Asia,China,35.1753,99.3877,12377911
Asia,Cambodia,12.69,104.444,31017
Asia,Brunei,4.452,114.557,20142
Asia,Bangladesh,24.598,90.1963,34511226
Asia,Bahrain,26.025,50.5534,6294469
Asia,Azerbaijan,40.46,47.883,4103580
Asia,Armenia,40.56,44.449,5282758
Asia,Afghanistan,34.023,65.5267,4888061
America,Venezuela,6.983,-64.588,4810886
America,United States Virgin Islands,17.7289,-64.7592,94809
America,United States,40.0792,-98.8164,681892886
America,Sweden,66.2188,19,10571423
America,Swaziland,-26.5203,31.4607,437493
America,Suriname,4.248,-55.848,357929
America,Peru,-12.664,-72.98,71778069
America,Paraguay,-23.266,-58.409,2238555
America,Nicaragua,12.692,-85.03,518782
America,Montserrat,16.7492,-62.1928,1738
America,Moldova,47.524,28.444,4391848
America,Mexico,22.925,-101.68,71907073
America,Jersey,49.213,-2.1258,50877
America,Jamaica,18.163,-77.477,349834
America,Honduras,14.881,-87.123,6449044
America,Haiti,19.3175,-72.4205,1004914
America,Guam,13.45,144.7579,151909
America,Grenada,12.111,-61.6867,3336
America,Greenland,71,-39,1937
America,El Salvador,13.848,-89.229,2527992
America,Ecuador,-1.151,-78.308,13105904
America,Dominican Republic,19.01,-70.1685,10169203
America,Dominica,15.4238,-61.3411,2957
America,Curacao,12.2129,-69.0407,18805
America,Cuba,20.571,-76.456,500171
America,Costa Rica,10.126,-84.075,4585239
America,Comoros,-11.6527,43.3307,51404
America,Colombia,3.794,-73.606,59972882
America,Chile,-23.176,-69.201,49590450
America,Canada,59.2067,-111.1937,17698931
America,British Virgin Islands,18.4204,-64.64,4247
America,Brazil,-11.694,-48.978,417214333
America,Bolivia,-16.71,-65.183,11715016
America,Bermuda,32.3019,-64.7737,22808
America,Belize,17.108,-88.744,105414
America,Barbados,13.1898,-59.559,20047
America,Aruba,12.5176,-69.9818,209208
America,Argentina,-33.166,-64.31,46811876
America,Antigua and Barbuda,17.625,-61.786,11204
America,Anguilla,18.2177,-63.0406,423
Africa,Zimbabwe,-19.098,30.047,591328
Africa,Zambia,-15.13,25.268,1110397
Africa,Uruguay,-32.948,-56.249,200179
Africa,Uganda,1.9392,32.7415,441312
Africa,Tunisia,35.594,9.421,944294
Africa,Trinidad and Tobago,10.4435,-61.2604,217979
Africa,Togo,7.7,1.106,159317
Africa,South Africa,-31.7,23.441,62464739
Africa,Somalia,2.875,43.446,447047
Africa,Sierra Leone,8.677,-11.779,253340
Africa,Sao Tome and Principe,0.216,6.595,114348
Africa,Rwanda,-1.887,29.904,374950
Africa,Papua New Guinea,-5.636,142.798,35576
Africa,Nigeria,9.3417,7.678,5916274
Africa,Niger,16.996,9.915,158787
Africa,Mozambique,-13.852,38.042,505326
Africa,Morocco,31.129,-7.355,7568313
Africa,Mali,18.211,-2.209,359415
Africa,Malawi,-13.2731,33.7428,533452
Africa,Madagascar,-19.615,46.645,1430010
Africa,Liechtenstein,47.1593,9.547,14269
Africa,Libya,27.24,17.571,1813882
Africa,Liberia,6.51,-9.33,151143
Africa,Lesotho,-29.446,28.371,107923
Africa,Kenya,0.806,38.166,3242303
Africa,Guyana,5.17,-58.939,161771
Africa,Guinea-Bissau,12.191,-14.475,279557
Africa,Guinea,10.599,-10.907,1102334
Africa,Guernsey,49.4632,-2.5827,35689
Africa,Guatemala,15.124,-90.711,7574192
Africa,Gibraltar,36.134,-5.3482,36689
Africa,Ghana,7.258,-1.062,4718561
Africa,Georgia,42.05,43.576,400508
Africa,Gambia,13.499,-14.641,228596
Africa,Gabon,-0.406,11.914,990254
Africa,Ethiopia,8.435,38.786,4862058
Africa,Eritrea,15.982,38.02,37764
Africa,Equatorial Guinea,1.6342,10.4695,533820
Africa,Egypt,26.16,28.742,11955262
Africa,Democratic Republic of Congo,-1.418,23.607,1214880
Africa,Congo,0.509,16.08,457929
Africa,Chad,15.981,18.781,140049
Africa,Central African Republic,7.043,21.424,581845
Africa,Cape Verde,15.416,-23.36,453514
Africa,Cameroon,4.4,12.131,2341109
Africa,Burundi,-3.333,29.749,48602
Africa,Benin,10.478,2.274,238254
Africa,Angola,-12.836,17.808,301821
Africa,Algeria,28.6045,2.64,4617722
